playerId,playerName,teamId,pos,seasonKey,heightIn,weightLb,age,phase1_g,phase1_mpg,phase1_starterFlag,phase1_usageProxyPer36,phase2shoot_fg,phase2shoot_fga,phase2shoot_fgPct,phase2shoot_fg3,phase2shoot_fg3a,phase2shoot_fg3Pct,phase2shoot_fg2,phase2shoot_fg2a,phase2shoot_fg2Pct,phase2shoot_ft,phase2shoot_fta,phase2shoot_ftPct,phase2shoot_pts,phase2imp_season,phase2imp_g,phase2imp_mp,phase2imp_onCourt_plusMinus_per100,phase2imp_onOff_plusMinus_per100,phase2imp_tov_badPass,phase2imp_tov_lostBall,phase2imp_tov_shoot,phase2imp_tov_offensiveFoulOrOther,phase2imp_foulsCommitted_shooting,phase2imp_foulsCommitted_offensive,phase2imp_misc_pga,phase2imp_misc_and1,phase2imp_misc_blkd,phase3_rim_fgm,phase3_rim_fga,phase3_paint_fgm,phase3_paint_fga,phase3_mid_fgm,phase3_mid_fga,phase3_corner3_fgm,phase3_corner3_fga,phase3_ab3_fgm,phase3_ab3_fga,phase3_three_fgm,phase3_three_fga,phase3_total_fgm,phase3_total_fga,phase3_rim_fg,phase3_paint_fg,phase3_mid_fg,phase3_corner3_fg,phase3_ab3_fg,phase3_three_fg,phase3_total_fg,phase3_rim_att_share,phase3_paint_att_share,phase3_mid_att_share,phase3_corner3_att_share,phase3_ab3_att_share,phase3_three_att_share,phase4_fga,phase4_fta,phase4_three_pa,phase4_tov,phase4_ast,phase4_reb,phase4_pf,phase4_stl,phase4_blk,phase4_clutch_fga,phase4_trans_fga,phase4_minutes_est,phase4_clutch_fga_share,phase4_trans_fga_share,season_year
player_sarah_ashlee_barker,Sarah Ashlee Barker,LAS,G,sarah_ashlee_barker|LAS,71,152.9,24,34,14.147,,0.337,1.0,3.1,33.7,0.5,1.8,29.5,0.5,1.3,39.5,0.5,0.7,70.8,3.1,2025,34,481,-10.5,-10.1,26,10,19,0,9,5,71,0,6,13.0,26.0,2.0,13.0,2.0,4.0,6.0,19.0,12.0,42.0,18.0,61.0,35.0,104.0,0.5,0.1538461538461538,0.5,0.3157894736842105,0.2857142857142857,0.2950819672131147,0.3365384615384615,0.25,0.125,0.0384615384615384,0.1826923076923076,0.4038461538461538,0.5865384615384616,104.0,24.0,61.0,37.0,31.0,66.0,70.0,11.0,10.0,1.0,22.0,694.9166666666666,0.009615384615384616,0.21153846153846154,sarah_ashlee_barker|LAS
player_kierstan_bell,Kierstan Bell,LVA,F,kierstan_bell|LVA,71,151.96,25,35,12.2,,0.428,1.5,4.4,33.8,0.9,2.9,29.1,0.6,1.5,43.1,0.3,0.4,80.0,4.2,2025,35,427,2.0,-2.4,11,4,17,0,5,2,57,1,3,12.0,16.0,4.0,19.0,6.0,16.0,4.0,8.0,26.0,94.0,30.0,102.0,52.0,153.0,0.75,0.2105263157894736,0.375,0.5,0.2765957446808511,0.2941176470588235,0.3398692810457516,0.1045751633986928,0.1241830065359477,0.1045751633986928,0.0522875816993464,0.6143790849673203,0.6666666666666666,154.0,15.0,103.0,17.0,23.0,62.0,44.0,14.0,14.0,0.0,17.0,573.3666666666667,0.0,0.11038961038961038,kierstan_bell|LVA
player_monique_billings,Monique Billings,GSV,F,monique_billings|GSV,75,167.84,29,26,18.231,,0.568,2.8,5.8,47.7,0.4,1.4,27.8,2.4,4.4,53.9,1.4,2.0,67.9,7.3,2025,26,474,0.1,-2.4,8,5,25,5,28,4,39,7,10,35.0,47.0,20.0,55.0,7.0,13.0,5.0,14.0,5.0,22.0,10.0,36.0,72.0,151.0,0.7446808510638298,0.3636363636363636,0.5384615384615384,0.3571428571428571,0.2272727272727272,0.2777777777777778,0.4768211920529801,0.3112582781456953,0.3642384105960264,0.086092715231788,0.0927152317880794,0.1456953642384106,0.23841059602649,151.0,53.0,36.0,21.0,14.0,116.0,99.0,16.0,31.0,3.0,10.0,681.4666666666667,0.019867549668874173,0.06622516556291391,monique_billings|GSV
player_aliyah_boston,Aliyah Boston,IND,C-F,aliyah_boston|IND,78,180.7555555555556,24,44,30.159,1.0,0.4,6.2,11.5,53.8,0.1,0.7,20.7,6.0,10.8,55.8,2.5,3.3,76.2,15.0,2025,44,1327,6.5,10.2,31,14,60,25,63,7,402,13,39,158.0,256.0,76.0,161.0,31.0,58.0,0.0,3.0,6.0,25.0,6.0,28.0,271.0,503.0,0.6171875,0.4720496894409938,0.5344827586206896,0.0,0.24,0.2142857142857142,0.5387673956262425,0.5089463220675944,0.320079522862823,0.1153081510934393,0.0059642147117296,0.0497017892644135,0.0556660039761431,511.0,147.0,33.0,81.0,165.0,367.0,340.0,52.0,80.0,27.0,16.0,1940.8166666666666,0.05283757338551859,0.03131115459882583,aliyah_boston|IND
player_crystal_bradford,Crystal Bradford,LVA,F,crystal_bradford|LVA,71,151.7,32,4,6.0,,2.7,0.5,1.5,33.3,0.0,0.5,0.0,0.5,1.0,50.0,0.0,0.0,,1.0,2025,4,24,-39.7,-44.0,1,0,3,0,0,0,3,0,0,1.0,1.0,1.0,2.0,0.0,1.0,,,0.0,2.0,,,,,1.0,0.5,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,crystal_bradford|LVA
player_cameron_brink,Cameron Brink,LAS,F,cameron_brink|LAS,74,164.85714285714286,24,19,12.842,,0.898,1.8,4.3,42.7,0.5,1.8,29.4,1.3,2.5,52.1,0.8,1.1,76.2,5.1,2025,19,244,-10.4,-8.4,7,9,24,8,9,0,23,3,7,20.0,27.0,4.0,15.0,1.0,6.0,4.0,13.0,6.0,19.0,10.0,32.0,35.0,80.0,0.7407407407407407,0.2666666666666666,0.1666666666666666,0.3076923076923077,0.3157894736842105,0.3125,0.4375,0.3375,0.1875,0.075,0.1625,0.2375,0.4,82.0,21.0,34.0,25.0,9.0,82.0,79.0,10.0,33.0,1.0,1.0,344.6166666666667,0.012195121951219513,0.012195121951219513,cameron_brink|LAS
player_jaelyn_brown,Jaelyn Brown,CON,G-F,jaelyn_brown|CON,71,151.75714285714284,27,10,13.1,,1.178,1.4,3.7,37.8,0.8,1.8,44.4,0.6,1.9,31.6,0.1,0.2,50.0,3.7,2025,10,131,-18.9,-6.3,2,3,10,0,1,2,2,0,0,2.0,4.0,0.0,3.0,4.0,12.0,2.0,4.0,6.0,14.0,8.0,18.0,14.0,37.0,0.5,0.0,0.3333333333333333,0.5,0.4285714285714285,0.4444444444444444,0.3783783783783784,0.1081081081081081,0.081081081081081,0.3243243243243243,0.1081081081081081,0.3783783783783784,0.4864864864864865,,,,,,,,,,,,,,,jaelyn_brown|CON
player_kalani_brown,Kalani Brown,PHO,C,kalani_brown|PHO,73,160.92222222222225,28,29,12.759,,0.45,2.0,3.3,61.5,0.1,0.3,37.5,1.9,3.0,63.6,0.9,1.2,77.1,5.1,2025,29,370,-6.5,-12.8,8,6,27,8,17,1,34,4,9,44.0,68.0,10.0,15.0,2.0,5.0,0.0,2.0,3.0,6.0,3.0,8.0,59.0,96.0,0.6470588235294118,0.6666666666666666,0.4,0.0,0.5,0.375,0.6145833333333334,0.7083333333333334,0.15625,0.0520833333333333,0.0208333333333333,0.0625,0.0833333333333333,96.0,35.0,8.0,23.0,16.0,117.0,80.0,7.0,27.0,4.0,4.0,482.66666666666663,0.041666666666666664,0.041666666666666664,kalani_brown|PHO
player_lexie_brown,Lexie Brown,SEA,G,lexie_brown|SEA,71,152.34,31,24,9.458,,0.393,0.7,2.0,35.4,0.4,1.5,27.0,0.3,0.5,63.6,0.3,0.4,70.0,2.1,2025,24,227,2.5,0.4,1,2,7,3,4,1,51,0,1,5.0,6.0,0.0,2.0,2.0,3.0,2.0,6.0,8.0,31.0,10.0,37.0,17.0,48.0,0.8333333333333334,0.0,0.6666666666666666,0.3333333333333333,0.2580645161290322,0.2702702702702703,0.3541666666666667,0.125,0.0416666666666666,0.0625,0.125,0.6458333333333334,0.7708333333333334,48.0,10.0,37.0,6.0,23.0,17.0,31.0,9.0,2.0,0.0,9.0,288.93333333333334,0.0,0.1875,lexie_brown|SEA
player_paige_bueckers,Paige Bueckers,DAL,G,paige_bueckers|DAL,73,161.10000000000002,24,36,33.306,1.0,0.569,7.2,15.1,47.7,1.1,3.3,33.1,6.1,11.8,51.8,3.8,4.2,88.8,19.2,2025,36,1199,-4.6,10.9,50,19,47,2,69,12,461,28,21,51.0,73.0,80.0,152.0,89.0,200.0,0.0,3.0,39.0,115.0,39.0,118.0,259.0,543.0,0.6986301369863014,0.5263157894736842,0.445,0.0,0.3391304347826087,0.3305084745762712,0.4769797421731123,0.1344383057090239,0.2799263351749539,0.3683241252302026,0.005524861878453,0.2117863720073664,0.2173112338858195,549.0,153.0,123.0,72.0,202.0,144.0,255.0,57.0,39.0,40.0,44.0,1723.7833333333333,0.07285974499089254,0.08014571948998178,paige_bueckers|DAL
