game_id,event_id,event_type,role,raw_name,problem
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,2bcb2e75-3c09-4369-aaca-357c8c8f04c5,personalfoul,fouler,Nneka,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,157e24fa-0166-4164-b13d-72d4ccb8a14e,personalfoul,fouler,Erica,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,cf1e289e-2668-4b6f-aef7-2a6b58fc80c7,shootingfoul,fouler,Ezi,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,e26e9cf6-77c6-4ae2-8eb6-41bc21b00221,personalfoul,fouler,Damiris,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,ca8eeefa-0f76-4911-a473-32ae24c75fbd,personalfoul,fouler,Zia,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,fe966faa-ce0e-471e-a922-f150e49a1fdb,personalfoul,fouler,Brianna,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,ca5760fc-64bb-43eb-b6d6-3434d1442784,personalfoul,fouler,Lexie,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,39014699-c942-4287-8246-339476983f4d,personalfoul,fouler,Skylar,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,e5c10692-24d0-469f-a5f3-815ef0e0a7d5,shootingfoul,fouler,Caitlin,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,142e5116-13fb-47ed-91c3-c0d319e700e7,shootingfoul,fouler,Caitlin,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,492c2c27-2d51-4f31-bdda-3a17da61bff4,personalfoul,fouler,Erica,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,24076792-2449-411b-9380-ff27ca00957c,turnover,turnover_player,Fever,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,55d45120-9c72-4d42-8780-4d1c5bcb6f1b,personalfoul,fouler,Kelsey,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,d28a7b70-f051-4f80-8882-c6a822a084fa,personalfoul,fouler,Ezi,name_not_found
009fc0bc-e36e-47b2-b5c5-e5cab9b252d1,941468ab-183b-4898-9d7b-13be429ea818,personalfoul,fouler,Skylar,name_not_found
