playerId,orb,trb,ast,stl,blk,tov,pf
player_dana_evans,0.2,1.1,2.2,0.4,0.1,0.8,1.3
player_temi_fagbenle,1.8,4.9,1.6,0.9,0.6,1.5,3.1
player_sania_feagin,0.2,0.7,0.3,0.0,0.4,0.4,1.0
player_leonie_fiebich,0.6,3.5,1.7,0.9,0.4,1.2,2.4
player_rebekah_gardner,0.7,1.8,0.6,0.6,0.2,0.6,1.5
player_luisa_geiselsoder,0.9,4.8,1.6,0.8,0.7,1.0,2.4
player_allisha_gray,0.9,5.3,3.5,1.1,0.4,1.8,2.6
player_chelsea_gray,0.6,3.9,5.4,1.4,0.6,2.8,2.0
player_brittney_griner,0.9,5.2,0.8,0.1,1.2,1.5,1.9
player_megan_gustafson,0.4,1.8,0.3,0.2,0.3,0.3,2.1
player_dearica_hamby,2.6,7.9,3.3,1.6,0.5,2.7,2.7
player_isabelle_harrison,0.9,2.6,0.7,0.6,0.1,0.7,1.3
player_tyasha_harris,0.2,1.0,2.6,0.4,0.4,0.6,1.0
player_bria_hartley,0.3,2.0,3.1,0.8,0.0,1.8,2.5
player_tiffany_hayes,0.7,3.8,3.0,0.5,0.2,1.9,2.2
player_lexi_held,0.3,1.1,1.1,0.7,0.2,0.9,1.2
player_natisha_hiedeman,0.3,1.9,2.8,0.7,0.2,1.2,1.6
player_naz_hillmon,1.6,6.2,2.4,0.5,0.4,1.1,1.7
player_myisha_hines_allen,1.5,6.0,2.9,0.8,0.5,2.2,2.5
player_joyner_holmes,0.3,1.0,0.0,0.0,0.0,0.3,0.8
player_mackenzie_holmes,0.3,0.9,0.2,0.5,0.1,0.0,0.7
player_natasha_howard,2.0,6.6,1.5,1.2,0.6,1.9,2.7
player_rhyne_howard,0.9,4.5,4.6,1.5,0.8,1.7,2.9
player_lexie_hull,1.4,4.3,1.8,1.2,0.2,0.9,2.8
player_sabrina_ionescu,0.8,4.9,5.7,1.3,0.4,2.6,1.7
player_kiki_iriafen,2.6,8.5,1.6,0.6,0.2,2.2,2.9
player_rickea_jackson,1.0,3.2,1.7,0.6,0.4,2.1,1.9
player_aziaha_james,0.9,2.9,1.6,0.6,0.2,1.0,1.2
player_moriah_jefferson,0.0,1.0,1.8,0.0,0.0,0.4,0.6
player_marine_johannes,0.3,1.9,1.6,0.6,0.3,1.2,1.0
player_brionna_jones,3.1,7.3,2.2,1.1,0.8,1.5,2.5
player_jonquel_jones,1.5,8.1,2.7,0.5,1.1,2.1,2.5
player_elizabeth_kitley,0.3,1.4,0.1,0.3,0.5,0.6,1.5
player_anastasiia_kosu,0.5,0.7,0.2,0.0,0.2,0.3,0.4
player_le_la_lacan,0.7,2.4,3.7,2.2,0.2,1.9,3.3
player_kitija_laksa,0.3,1.2,0.6,0.4,0.2,0.6,1.5
player_kyra_lambert,0.0,0.0,0.0,0.0,0.0,0.0,0.0
player_carla_leite,0.2,1.3,2.0,0.7,0.1,1.5,1.5
player_kyara_linskens,0.3,1.5,0.3,0.3,0.8,0.5,1.8
player_jewell_loyd,1.1,3.2,1.8,1.2,0.3,1.2,1.9
player_marina_mabrey,0.5,4.2,4.0,0.7,0.3,2.8,2.9
player_natasha_mack,2.3,5.8,0.9,0.9,1.5,0.4,1.6
player_ezi_magbegor,1.9,6.2,2.1,0.7,2.2,1.0,2.9
player_dominique_malonga,1.3,4.6,0.9,0.4,0.7,1.1,2.1
player_rayah_marshall,0.5,1.7,0.3,0.1,0.2,0.5,0.8
player_kate_martin,0.5,2.7,1.0,0.4,0.1,0.8,1.1
player_kayla_mcbride,0.3,2.3,3.5,1.3,0.1,1.7,1.4
player_megan_mcconnell,1.0,1.0,3.0,1.0,0.0,0.0,1.0
player_teaira_mccowan,1.8,4.6,0.6,0.3,0.7,0.9,1.4
player_aari_mcdonald,0.5,2.4,4.7,1.3,0.2,2.3,2.5
player_emma_meesseman,1.3,5.1,3.2,1.2,0.8,2.1,1.5
player_jade_melbourne,0.4,1.9,2.9,0.6,0.2,1.7,2.3
player_kelsey_mitchell,0.4,1.8,3.4,0.9,0.2,1.8,2.0
player_aneesah_morrow,2.0,6.9,0.5,0.8,0.4,1.1,2.0
player_murjanatu_musa,1.5,2.6,0.6,0.3,0.2,0.6,1.4
player_olivia_nelson_ododa,1.6,5.0,0.9,0.7,1.2,1.1,2.4
