,,,,,,,,+/- Per 100 Poss.,+/- Per 100 Poss.,,Turnovers,Turnovers,,Fouls Committed,Fouls Committed,,Fouls Drawn,Fouls Drawn,,Misc.,Misc.,Misc.
Player,Team,Pos,G,MP,G,MP,,OnCourt,On-Off,,BadPass,LostBall,,Shoot,Off.,,Shoot,Off.,,PGA,And1,Blkd
Azura Stevens,LAS,F-C,44,1249,44,1249,,-4.1,-3.3,,37,10,,60,5,,45,4,,212,13,24
Kierstan Bell,LVA,F,35,427,35,427,,2.0,-2.4,,11,4,,17,0,,5,2,,57,1,3
Crystal Bradford,LVA,F,4,24,4,24,,-39.7,-44.0,,1,0,,3,0,,0,0,,3,0,0
Dana Evans,LVA,G,44,777,44,777,,-3.1,-12.1,,31,4,,17,0,,27,3,,232,9,15
Chelsea Gray,LVA,G,44,1368,44,1368,,6.6,12.7,,93,18,,38,8,,34,11,,558,8,9
Megan Gustafson,LVA,C,20,226,20,226,,-12.5,-18.7,,2,1,,20,3,,7,1,,12,1,0
Joyner Holmes,LVA,F,6,29,6,29,,-3.8,-7.7,,0,1,,1,1,,0,0,,0,0,0
Elizabeth Kitley,LVA,C,12,98,12,98,,-26.6,-32.1,,3,0,,8,4,,1,0,,2,0,4
Jewell Loyd,LVA,G,44,1245,44,1245,,5.1,4.7,,27,12,,49,7,,26,14,,203,4,13
Aaliyah Nye,LVA,G-F,44,671,44,671,,-3.3,-11.4,,15,7,,31,3,,6,3,,55,1,10
Cheyenne Parker-Tyus,LVA,F,2,14,2,14,,3.6,-0.2,,1,0,,1,0,,3,0,,0,0,0
Kiah Stokes,LVA,C,40,514,40,514,,-8.0,-16.5,,3,5,,27,7,,2,2,,43,0,2
A'ja Wilson,LVA,C,40,1247,40,1247,,12.2,29.5,,41,21,,44,16,,139,3,,304,39,30
Jackie Young,LVA,G,44,1336,44,1336,,8.9,21.7,,62,20,,32,8,,54,7,,537,16,15
Yvonne Anderson,MIN,G,1,12,1,12,,64.9,52.9,,0,0,,1,0,,0,0,,6,0,0
Marième Badiane,MIN,C,3,11,3,11,,-29.5,-42.2,,1,0,,2,1,,0,0,,0,0,0
Bridget Carleton,MIN,F,44,1227,44,1227,,12.3,-0.1,,17,8,,30,4,,11,18,,211,1,7
Napheesa Collier,MIN,F,33,1065,33,1065,,16.6,10.7,,17,26,,28,17,,69,4,,264,21,25
Natisha Hiedeman,MIN,G,44,833,44,833,,12.4,0.0,,38,13,,37,1,,28,9,,298,5,16
Anastasiia Kosu,MIN,F,21,80,21,80,,26.0,14.3,,2,2,,0,2,,7,0,,11,1,4
Kayla McBride,MIN,G,39,1220,39,1220,,12.5,0.5,,42,19,,14,4,,30,5,,322,8,7
Karlie Samuelson,MIN,G,16,228,16,228,,15.7,3.8,,6,3,,3,1,,3,4,,40,1,1
Jessica Shepard,MIN,F,40,835,40,835,,9.6,-5.3,,25,13,,16,8,,45,4,,242,13,18
Alanna Smith,MIN,F,42,1114,42,1114,,11.5,-2.4,,32,14,,57,12,,30,13,,292,10,11
Camryn Taylor,MIN,F,6,23,6,23,,22.2,9.9,,1,1,,2,1,,1,1,,2,0,1
Maria Kliundikova,MIN,F,34,373,34,373,,11.4,-1.2,,8,5,,24,5,,11,0,,43,3,4
Courtney Williams,MIN,G,44,1260,44,1260,,13.2,2.8,,71,20,,45,4,,21,9,,636,4,15
Kennedy Burke,NYL,G-F,36,779,36,779,,4.7,-0.9,,15,14,,26,2,,29,2,,106,6,11
Natasha Cloud,NYL,G,41,1191,41,1191,,5.2,-0.2,,64,3,,53,5,,34,5,,493,7,8
Leonie Fiebich,NYL,F,37,1041,37,1041,,7.5,5.6,,25,10,,33,6,,23,6,,151,3,5
Rebekah Gardner,NYL,G,41,502,41,502,,4.8,-0.6,,8,6,,34,3,,11,2,,65,1,12
Isabelle Harrison,NYL,F,34,360,34,360,,1.7,-4.4,,7,8,,23,5,,19,1,,67,5,13
Sabrina Ionescu,NYL,G,38,1194,38,1194,,6.3,3.6,,66,20,,36,4,,69,12,,494,18,29
Marine Johannes,NYL,G,44,803,44,803,,5.0,-0.4,,39,8,,20,0,,6,1,,169,0,7
Jonquel Jones,NYL,C,31,830,31,830,,7.8,4.9,,25,19,,32,18,,43,1,,205,7,13
Emma Meesseman,NYL,F,17,440,17,440,,3.5,-2.3,,19,8,,15,5,,16,0,,132,5,7
Nyara Sabally,NYL,C,17,305,17,305,,-0.7,-7.1,,3,6,,19,7,,10,0,,32,2,10
Breanna Stewart,NYL,F,31,948,31,948,,10.9,12.5,,25,21,,33,7,,86,4,,269,20,24
Monique Akoa Makani,PHO,G,41,881,41,881,,9.7,12.1,,40,11,,37,3,,16,19,,248,4,7
Kalani Brown,PHO,C,29,370,29,370,,-6.5,-12.8,,8,6,,27,8,,17,1,,34,4,9
Kahleah Copper,PHO,G-F,28,752,28,752,,6.3,4.7,,32,17,,22,7,,41,4,,102,10,28
Lexi Held,PHO,G,32,471,32,471,,-7.4,-15.1,,17,11,,18,0,,8,2,,81,0,9
Kitija Laksa,PHO,G,33,626,33,626,,-7.2,-16.9,,9,5,,22,3,,14,7,,48,4,5
