playerid,playername,teamid,pos,seasonkey,age
player_te_hina_paopao,Te-Hina PaoPao,ATL,G,te_hina_paopao|ATL,23.0
player_cheyenne_parker_tyus,Cheyenne Parker-Tyus,LVA,F,cheyenne_parker_tyus|LVA,33.0
player_robyn_parks,Robyn Parks,CON,F,robyn_parks|CON,33.0
player_haley_peters,Haley Peters,CON,F-G,haley_peters|CON,33.0
player_ajae_petty,Ajae Petty,DAL,F,ajae_petty|DAL,23.0
player_kelsey_plum,Kelsey Plum,LAS,G,kelsey_plum|LAS,31.0
player_alexis_prince,Alexis Prince,PHO,F,alexis_prince|PHO,32.0
player_jj_quinerly,JJ Quinerly,DAL,G,jj_quinerly|DAL,23.0
player_angel_reese,Angel Reese,CHI,F,angel_reese|CHI,23.0
player_saniya_rivers,Saniya Rivers,CON,G,saniya_rivers|CON,22.0
player_iliana_rupert,Iliana Rupert,GSV,C,iliana_rupert|GSV,24.0
player_mercedes_russell,Mercedes Russell,LAS,C,mercedes_russell|LAS,30.0
player_nyara_sabally,Nyara Sabally,NYL,C,nyara_sabally|NYL,25.0
player_satou_sabally,Satou Sabally,PHO,F,satou_sabally|PHO,27.0
player_janelle_sala_n,Janelle Salaün,GSV,F,janelle_sala_n|GSV,24.0
player_karlie_samuelson,Karlie Samuelson,MIN,G,karlie_samuelson|MIN,30.0
player_madison_scott,Madison Scott,WAS,G-F,madison_scott|WAS,24.0
player_jessica_shepard,Jessica Shepard,MIN,F,jessica_shepard|MIN,29.0
player_maddy_siegrist,Maddy Siegrist,DAL,F,maddy_siegrist|DAL,25.0
player_kamiah_smalls,Kamiah Smalls,ATL,G,kamiah_smalls|ATL,27.0
player_alanna_smith,Alanna Smith,MIN,F,alanna_smith|MIN,29.0
player_azura_stevens,Azura Stevens,LAS,F-C,azura_stevens|LAS,30.0
player_breanna_stewart,Breanna Stewart,NYL,F,breanna_stewart|NYL,31.0
player_kiah_stokes,Kiah Stokes,LVA,C,kiah_stokes|LVA,32.0
player_serena_sundell,Serena Sundell,DAL,G,serena_sundell|DAL,23.0
player_sug_sutton,Sug Sutton,WAS,G,sug_sutton|WAS,27.0
player_camryn_taylor,Camryn Taylor,MIN,F,camryn_taylor|MIN,25.0
player_taylor_thierry,Taylor Thierry,ATL,G-F,taylor_thierry|ATL,23.0
player_alyssa_thomas,Alyssa Thomas,PHO,F,alyssa_thomas|PHO,33.0
player_kayla_thornton,Kayla Thornton,GSV,F,kayla_thornton|GSV,33.0
player_makayla_timpson,Makayla Timpson,IND,F-C,makayla_timpson|IND,23.0
player_mamignan_tour,Mamignan Touré,CON,G,mamignan_tour|CON,31.0
player_brianna_turner,Brianna Turner,IND,F-C,brianna_turner|IND,29.0
player_maria_kliundikova,Maria Kliundikova,MIN,F,maria_kliundikova|MIN,27.0
player_courtney_vandersloot,Courtney Vandersloot,CHI,G,courtney_vandersloot|CHI,36.0
player_hailey_van_lith,Hailey Van Lith,CHI,G,hailey_van_lith|CHI,24.0
player_shatori_walker_kimbrough,Shatori Walker-Kimbrough,ATL,G,shatori_walker_kimbrough|ATL,30.0
player_kathryn_westbeld,Kathryn Westbeld,PHO,F,kathryn_westbeld|PHO,30.0
player_maddy_westbeld,Maddy Westbeld,CHI,F,maddy_westbeld|CHI,23.0
player_erica_wheeler,Erica Wheeler,SEA,G,erica_wheeler|SEA,34.0
player_sami_whitcomb,Sami Whitcomb,PHO,G,sami_whitcomb|PHO,37.0
player_christyn_williams,Christyn Williams,DAL,G,christyn_williams|DAL,25.0
player_courtney_williams,Courtney Williams,MIN,G,courtney_williams|MIN,31.0
player_elizabeth_williams,Elizabeth Williams,CHI,C-F,elizabeth_williams|CHI,32.0
player_gabby_williams,Gabby Williams,SEA,F,gabby_williams|SEA,29.0
player_kiana_williams,Kiana Williams,PHO,G,kiana_williams|PHO,26.0
player_a_ja_wilson,A'ja Wilson,LVA,C,a_ja_wilson|LVA,29.0
player_jackie_young,Jackie Young,LVA,G,jackie_young|LVA,28.0
player_cecilia_zandalasini,Cecilia Zandalasini,GSV,F,cecilia_zandalasini|GSV,29.0
player_grace_berger,Grace Berger,LAS,G,grace_berger|DAL,26.0
player_chloe_bibby,Chloe Bibby,GSV,F,chloe_bibby|IND,27.0
player_dewanna_bonner,DeWanna Bonner,IND,G-F,dewanna_bonner|PHO,38.0
player_dijonai_carrington,DiJonai Carrington,MIN,G-F,dijonai_carrington|DAL,28.0
player_kaila_charles,Kaila Charles,DAL,G-F,kaila_charles|GSV,27.0
player_alysha_clark,Alysha Clark,WAS,F,alysha_clark|SEA,38.0
player_marquesha_davis,Marquesha Davis,CHI,G,marquesha_davis|NYL,24.0
player_aaliyah_edwards,Aaliyah Edwards,CON,F,aaliyah_edwards|WAS,23.0
player_bree_hall,Bree Hall,IND,G,bree_hall|GSV,22.0
player_haley_jones,Haley Jones,PHO,F-G,haley_jones|DAL,24.0
player_liatu_king,Liatu King,DAL,F,liatu_king|LAS,23.0
player_sika_kon,Sika Koné,ATL,F,sika_kon|WAS,23.0
player_diamond_miller,Diamond Miller,DAL,F,diamond_miller|MIN,24.0
player_tiffany_mitchell,Tiffany Mitchell,LVA,G,tiffany_mitchell|SEA,31.0
player_shey_peddy,Shey Peddy,LAS,G,shey_peddy|IND,37.0
player_alissa_pili,Alissa Pili,LAS,F,alissa_pili|MIN,24.0
player_aerial_powers,Aerial Powers,GSV,G,aerial_powers|IND,32.0
player_jacy_sheldon,Jacy Sheldon,WAS,G,jacy_sheldon|CON,25.0
player_jaylyn_sherrod,Jaylyn Sherrod,MIN,G,jaylyn_sherrod|NYL,24.0
player_odyssey_sims,Odyssey Sims,LAS,G,odyssey_sims|LAS,33.0
player_nalyssa_smith,NaLyssa Smith,DAL,F,nalyssa_smith|LVA,25.0
player_brittney_sykes,Brittney Sykes,SEA,G,brittney_sykes|WAS,31.0
player_stephanie_talbot,Stephanie Talbot,NYL,F,stephanie_talbot|NYL,31.0
player_sevgi_uzun,Sevgi Uzun,PHO,G,sevgi_uzun|CHI,28.0
player_julie_vanloo,Julie Vanloo,GSV,G,julie_vanloo|LAS,32.0
player_li_yueru,Li Yueru,SEA,C,li_yueru|DAL,26.0
