PlayerID,,,,,,Popular Stats,,,,,,,,,Additional Stats,,,,,,,
,Player,Team,Pos,G,Min,PTS,REB,AST,STL,BLK,3PM,FG%,FT%,TO,OREB,DREB,3PA,3P%,FGM,FGA,FTM,FTA
358,Temi Fagbenle,GSV,C,39,925,288,190,61,35,23,12,50.2,72.2,58,70,120,62,19.4,125,249,26,36
581,Bridget Carleton,MIN,F,44,1227,285,158,89,37,12,63,40.2,72.0,33,39,119,169,37.3,102,254,18,25
992,Aziaha James,DAL,G,38,673,285,111,59,24,7,32,37.3,74.5,38,36,75,112,28.6,106,284,41,55
615,Marine Johannes,NYL,G,44,803,281,84,70,25,12,65,39.7,84.2,52,13,71,189,34.4,100,252,16,19
927,Carla Leite,GSV,G,37,637,268,48,75,26,3,13,38.7,83.8,57,9,39,75,17.3,86,222,83,99
949,Kate Martin,GSV,G,42,687,261,112,40,17,4,57,32.3,78.0,34,20,92,184,31.0,86,266,32,41
462,DeWanna Bonner,PHO,G,24,586,261,103,24,17,8,31,42.6,86.6,18,25,78,95,32.6,86,202,58,67
935,Leila Lacan,CON,G,25,665,259,59,92,55,4,15,47.7,85.7,47,17,42,67,22.4,104,218,36,42
584,Sophie Cunningham,IND,G,30,756,257,105,36,29,3,51,46.9,87.5,34,15,90,118,43.2,82,175,42,48
798,Jade Melbourne,WAS,G,43,1008,255,80,124,26,8,26,40.0,67.1,72,17,63,95,27.4,90,225,49,73
1002,Te-Hina Paopao,ATL,G,43,720,250,69,105,20,9,51,44.0,53.8,44,10,59,132,38.6,96,218,7,13
739,Michaela Onyenwere,CHI,F,42,711,245,69,48,16,4,24,42.2,84.3,56,17,52,68,35.3,89,211,43,51
449,Emma Meesseman,NYL,F,17,440,228,87,54,21,13,14,57.2,86.5,36,22,65,21,66.7,91,159,32,37
378,Rebecca Allen,CHI,G,44,821,225,113,57,23,23,42,34.2,61.3,39,16,97,132,31.8,82,240,19,31
563,Kathryn Westbeld,PHO,F,43,792,221,109,39,36,24,42,35.8,78.1,24,30,79,131,32.1,77,215,25,32
