playerName,rim_fgm,rim_fga,paint_fgm,paint_fga,mid_fgm,mid_fga,corner3_fgm,corner3_fga,ab3_fgm,ab3_fga,three_fgm,three_fga,total_fgm,total_fga,rim_fg,paint_fg,mid_fg,corner3_fg,ab3_fg,three_fg,total_fg,rim_att_share,paint_att_share,mid_att_share,corner3_att_share,ab3_att_share,three_att_share,age,playerId,teamId,pos
Bria Hartley,25.0,57.0,6.0,40.0,21.0,49.0,5.0,14.0,49,131,54.0,145.0,106.0,291.0,0.43859649122807015,0.15,0.42857142857142855,0.35714285714285715,0.37404580152671757,0.3724137931034483,0.3642611683848797,0.1958762886597938,0.13745704467353953,0.16838487972508592,0.048109965635738834,0.45017182130584193,0.49828178694158076,33,player_bria_hartley,CON,G
Brianna Turner,11.0,22.0,2.0,4.0,0.0,5.0,0.0,1.0,0,0,0.0,1.0,13.0,32.0,0.5,0.5,0.0,0.0,,0.0,0.40625,0.6875,0.125,0.15625,0.03125,0.0,0.03125,29,player_brianna_turner,IND,F-C
Bridget Carleton,16.0,28.0,10.0,28.0,13.0,29.0,14.0,31.0,49,138,63.0,169.0,102.0,254.0,0.5714285714285714,0.35714285714285715,0.4482758620689655,0.45161290322580644,0.35507246376811596,0.3727810650887574,0.4015748031496063,0.11023622047244094,0.11023622047244094,0.1141732283464567,0.1220472440944882,0.5433070866141733,0.6653543307086615,28,player_bridget_carleton,MIN,F
Brionna Jones,163.0,261.0,42.0,96.0,8.0,24.0,0.0,1.0,12,45,12.0,46.0,225.0,427.0,0.6245210727969349,0.4375,0.3333333333333333,0.0,0.26666666666666666,0.2608695652173913,0.5269320843091335,0.6112412177985949,0.22482435597189696,0.05620608899297424,0.00234192037470726,0.1053864168618267,0.10772833723653395,30,player_brionna_jones,ATL,F
Brittney Griner,70.0,100.0,58.0,115.0,23.0,67.0,0.0,1.0,5,18,5.0,19.0,156.0,301.0,0.7,0.5043478260869565,0.34328358208955223,0.0,0.2777777777777778,0.2631578947368421,0.5182724252491694,0.33222591362126247,0.38205980066445183,0.22259136212624583,0.0033222591362126247,0.059800664451827246,0.06312292358803986,35,player_brittney_griner,ATL,C
Brittney Sykes,95.0,156.0,33.0,114.0,15.0,85.0,6.0,21.0,25,81,31.0,102.0,174.0,457.0,0.6089743589743589,0.2894736842105263,0.17647058823529413,0.2857142857142857,0.30864197530864196,0.30392156862745096,0.38074398249452956,0.3413566739606127,0.24945295404814005,0.18599562363238512,0.045951859956236324,0.1772428884026258,0.22319474835886213,31,player_brittney_sykes,SEA,G
Caitlin Clark,20.0,37.0,15.0,27.0,8.0,28.0,1.0,1.0,28,103,29.0,104.0,72.0,196.0,0.5405405405405406,0.5555555555555556,0.2857142857142857,1.0,0.27184466019417475,0.27884615384615385,0.3673469387755102,0.18877551020408162,0.1377551020408163,0.14285714285714285,0.00510204081632653,0.5255102040816326,0.5306122448979592,24,player_caitlin_clark,IND,G
Cameron Brink,20.0,27.0,4.0,15.0,1.0,6.0,4.0,13.0,6,19,10.0,32.0,35.0,80.0,0.7407407407407407,0.26666666666666666,0.16666666666666666,0.3076923076923077,0.3157894736842105,0.3125,0.4375,0.3375,0.1875,0.075,0.1625,0.2375,0.4,24,player_cameron_brink,LAS,F
Camryn Taylor,0.0,2.0,0.0,1.0,0.0,1.0,,,1,3,,,,,0.0,0.0,0.0,,0.3333333333333333,,,0.0,0.0,0.0,0.0,0.0,0.0,25,player_camryn_taylor,MIN,F
Carla Leite,23.0,35.0,39.0,75.0,11.0,37.0,1.0,5.0,12,68,13.0,73.0,86.0,220.0,0.6571428571428571,0.52,0.2972972972972973,0.2,0.17647058823529413,0.1780821917808219,0.39090909090909093,0.1590909090909091,0.3409090909090909,0.16818181818181818,0.022727272727272728,0.3090909090909091,0.33181818181818185,21,player_carla_leite,GSV,G
Cecilia Zandalasini,8.0,12.0,11.0,24.0,11.0,23.0,0.0,2.0,37,88,37.0,90.0,67.0,149.0,0.6666666666666666,0.4583333333333333,0.4782608695652174,0.0,0.42045454545454547,0.4111111111111111,0.44966442953020136,0.08053691275167785,0.1610738255033557,0.15436241610738255,0.013422818791946308,0.5906040268456376,0.6040268456375839,29,player_cecilia_zandalasini,GSV,F
Chelsea Gray,21.0,28.0,35.0,78.0,50.0,108.0,5.0,13.0,58,158,63.0,171.0,169.0,385.0,0.75,0.44871794871794873,0.46296296296296297,0.38461538461538464,0.3670886075949367,0.3684210526315789,0.43896103896103894,0.07272727272727272,0.2025974025974026,0.2805194805194805,0.033766233766233764,0.4103896103896104,0.44415584415584414,33,player_chelsea_gray,LVA,G
Cheyenne Parker-Tyus,1.0,1.0,2.0,3.0,1.0,2.0,,,1,2,,,,,1.0,0.6666666666666666,0.5,,0.5,,,0.0,0.0,0.0,0.0,0.0,0.0,33,player_cheyenne_parker_tyus,LVA,F
Chloe Bibby,1.0,1.0,1.0,4.0,2.0,8.0,4.0,9.0,13,33,17.0,42.0,21.0,55.0,1.0,0.25,0.25,0.4444444444444444,0.3939393939393939,0.40476190476190477,0.38181818181818183,0.01818181818181818,0.07272727272727272,0.14545454545454545,0.16363636363636364,0.6,0.7636363636363637,27,player_chloe_bibby,GSV,F
Christyn Williams,1.0,2.0,2.0,7.0,2.0,3.0,,,1,4,,,,,0.5,0.2857142857142857,0.6666666666666666,,0.25,,,0.0,0.0,0.0,0.0,0.0,0.0,25,player_christyn_williams,DAL,G
Courtney Vandersloot,10.0,17.0,8.0,16.0,6.0,10.0,1.0,3.0,4,20,5.0,23.0,29.0,66.0,0.5882352941176471,0.5,0.6,0.3333333333333333,0.2,0.21739130434782608,0.4393939393939394,0.25757575757575757,0.24242424242424243,0.15151515151515152,0.045454545454545456,0.30303030303030304,0.3484848484848485,36,player_courtney_vandersloot,CHI,G
Courtney Williams,37.0,62.0,33.0,72.0,120.0,297.0,1.0,6.0,57,143,58.0,149.0,248.0,580.0,0.5967741935483871,0.4583333333333333,0.40404040404040403,0.16666666666666666,0.3986013986013986,0.38926174496644295,0.42758620689655175,0.10689655172413794,0.12413793103448276,0.5120689655172413,0.010344827586206896,0.24655172413793103,0.25689655172413794,31,player_courtney_williams,MIN,G
Crystal Bradford,1.0,1.0,1.0,2.0,0.0,1.0,,,0,2,,,,,1.0,0.5,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,32,player_crystal_bradford,LVA,F
