season,playerId,playerName,teamId,pos,g,mp,onCourt_plusMinus_per100,onOff_plusMinus_per100,tov_badPass,tov_lostBall,tov_shoot,tov_offensiveFoulOrOther,foulsCommitted_shooting,foulsCommitted_offensive,misc_pga,misc_and1,misc_blkd,oldPlayerId,oldTeamId
2025,player_jewell_loyd,Jewell Loyd,LVA,G,44,1245,5.1,4.7,27,12,49,7,26,14,203,4,13,bref_lva_jewell_loyd,LVA
2025,player_jonquel_jones,Jonquel Jones,NYL,C,31,830,7.8,4.9,25,19,32,18,43,1,205,7,13,bref_nyl_jonquel_jones,NYL
2025,player_jordin_canada,Jordin Canada,ATL,G,28,783,13.7,7.4,41,16,17,1,49,11,374,10,14,bref_atl_jordin_canada,ATL
2025,player_joyner_holmes,Joyner Holmes,LVA,F,6,29,-3.8,-7.7,0,1,1,1,0,0,0,0,0,bref_lva_joyner_holmes,LVA
2025,player_julie_allemand,Julie Allemand,LAS,G,34,963,2.8,13.0,38,12,37,0,6,0,410,3,1,bref_las_julie_allemand,LAS
2025,player_julie_vanloo,Julie Vanloo,GSV,G,35,449,-13.6,-14.8,39,2,15,3,3,8,161,1,2,bref_tot_julie_vanloo,TOT
2025,player_kahleah_copper,Kahleah Copper,PHO,G-F,28,752,6.3,4.7,32,17,22,7,41,4,102,10,28,bref_pho_kahleah_copper,PHO
2025,player_kaila_charles,Kaila Charles,DAL,G-F,35,616,4.3,9.2,15,15,24,2,25,1,79,4,17,bref_tot_kaila_charles,TOT
2025,player_kaitlyn_chen,Kaitlyn Chen,GSV,G,24,247,-6.1,-9.3,12,6,11,0,4,2,58,3,4,bref_gsv_kaitlyn_chen,GSV
2025,player_kalani_brown,Kalani Brown,PHO,C,29,370,-6.5,-12.8,8,6,27,8,17,1,34,4,9,bref_pho_kalani_brown,PHO
2025,player_kamiah_smalls,Kamiah Smalls,ATL,G,3,3,45.2,35.7,0,0,0,0,0,0,0,0,0,bref_atl_kamiah_smalls,ATL
2025,player_kamilla_cardoso,Kamilla Cardoso,CHI,C,40,1102,-14.2,-3.3,50,17,65,17,71,1,217,14,42,bref_chi_kamilla_cardoso,CHI
2025,player_kariata_diaby,Kariata Diaby,CON,C,13,103,-13.7,-0.8,3,0,2,6,3,1,12,1,4,bref_con_kariata_diaby,CON
2025,player_karlie_samuelson,Karlie Samuelson,MIN,G,16,228,15.7,3.8,6,3,3,1,3,4,40,1,1,bref_min_karlie_samuelson,MIN
2025,player_kate_martin,Kate Martin,GSV,G,42,687,-3.0,-7.9,14,10,24,2,15,2,96,3,19,bref_gsv_kate_martin,GSV
2025,player_kathryn_westbeld,Kathryn Westbeld,PHO,F,43,792,3.9,0.7,9,11,38,0,13,0,94,1,10,bref_pho_kathryn_westbeld,PHO
2025,player_kayla_mcbride,Kayla McBride,MIN,G,39,1220,12.5,0.5,42,19,14,4,30,5,322,8,7,bref_min_kayla_mcbride,MIN
2025,player_kayla_thornton,Kayla Thornton,GSV,F,22,662,2.7,1.4,9,15,14,4,31,3,82,3,10,bref_gsv_kayla_thornton,GSV
2025,player_kelsey_mitchell,Kelsey Mitchell,IND,G,44,1381,5.1,5.4,45,11,29,7,69,13,343,17,25,bref_ind_kelsey_mitchell,IND
2025,player_kelsey_plum,Kelsey Plum,LAS,G,43,1508,-2.4,5.0,71,37,22,16,89,8,583,12,32,bref_las_kelsey_plum,LAS
2025,player_kennedy_burke,Kennedy Burke,NYL,G-F,36,779,4.7,-0.9,15,14,26,2,29,2,106,6,11,bref_nyl_kennedy_burke,NYL
2025,player_kia_nurse,Kia Nurse,CHI,G,44,962,-15.5,-5.7,29,12,30,8,21,13,133,1,17,bref_chi_kia_nurse,CHI
2025,player_kiah_stokes,Kiah Stokes,LVA,C,40,514,-8.0,-16.5,3,5,27,7,2,2,43,0,2,bref_lva_kiah_stokes,LVA
2025,player_kiana_williams,Kiana Williams,PHO,G,11,107,-14.5,-19.3,5,1,4,0,1,0,24,0,1,bref_pho_kiana_williams,PHO
2025,player_kierstan_bell,Kierstan Bell,LVA,F,35,427,2.0,-2.4,11,4,17,0,5,2,57,1,3,bref_lva_kierstan_bell,LVA
2025,player_kiki_iriafen,Kiki Iriafen,WAS,F,44,1185,-2.9,6.9,28,27,52,24,86,0,160,20,36,bref_was_kiki_iriafen,WAS
2025,player_kitija_laksa,Kitija Laksa,PHO,G,33,626,-7.2,-16.9,9,5,22,3,14,7,48,4,5,bref_pho_kitija_laksa,PHO
2025,player_kyara_linskens,Kyara Linskens,GSV,C,4,27,12.5,10.8,1,1,6,0,0,0,2,0,0,bref_gsv_kyara_linskens,GSV
2025,player_kyra_lambert,Kyra Lambert,IND,G,1,0,,,0,0,0,0,0,0,0,0,0,bref_ind_kyra_lambert,IND
2025,player_laeticia_amihere,Laeticia Amihere,GSV,F,29,385,-0.5,-3.0,5,13,19,7,27,2,71,3,14,bref_gsv_laeticia_amihere,GSV
2025,player_leonie_fiebich,Leonie Fiebich,NYL,F,37,1041,7.5,5.6,25,10,33,6,23,6,151,3,5,bref_nyl_leonie_fiebich,NYL
2025,player_lexi_held,Lexi Held,PHO,G,32,471,-7.4,-15.1,17,11,18,0,8,2,81,0,9,bref_pho_lexi_held,PHO
2025,player_lexie_brown,Lexie Brown,SEA,G,24,227,2.5,0.4,1,2,7,3,4,1,51,0,1,bref_sea_lexie_brown,SEA
2025,player_lexie_hull,Lexie Hull,IND,G,44,1189,6.6,7.7,21,16,47,2,13,30,186,5,19,bref_ind_lexie_hull,IND
2025,player_le_la_lacan,Leïla Lacan,CON,G,25,665,-1.5,18.4,34,8,32,1,15,6,218,4,6,bref_con_le_la_lacan,CON
2025,player_li_yueru,Li Yueru,SEA,C,31,519,-2.7,0.4,12,8,29,7,21,0,63,3,18,bref_tot_li_yueru,TOT
2025,player_liatu_king,Liatu King,DAL,F,14,136,-4.3,1.4,5,3,6,1,7,2,11,1,4,bref_tot_liatu_king,TOT
