playerId,playerName,games,minutes,foulsCommittedOffensive
player_crystal_bradford,Crystal Bradford,,4.0,1.0
player_dana_evans,Dana Evans,,,17.0
player_chelsea_gray,Chelsea Gray,,1368.0,8.0
player_megan_gustafson,Megan Gustafson,,,20.0
player_joyner_holmes,Joyner Holmes,,6.0,0.0
player_elizabeth_kitley,Elizabeth Kitley,,,8.0
player_jewell_loyd,Jewell Loyd,,1245.0,7.0
player_aaliyah_nye,Aaliyah Nye,,671.0,3.0
player_cheyenne_parker_tyus,Cheyenne Parker-Tyus,,2.0,1.0
player_kiah_stokes,Kiah Stokes,,,27.0
,Aja Wilson,,1247.0,16.0
player_jackie_young,Jackie Young,,1336.0,8.0
player_yvonne_anderson,Yvonne Anderson,,1.0,0.0
player_mari_me_badiane,Marieme Badiane,,3.0,1.0
player_bridget_carleton,Bridget Carleton,,1227.0,4.0
player_napheesa_collier,Napheesa Collier,,1065.0,17.0
player_natisha_hiedeman,Natisha Hiedeman,,,37.0
player_anastasiia_kosu,Anastasiia Kosu,,,0.0
player_kayla_mcbride,Kayla McBride,,1220.0,4.0
player_karlie_samuelson,Karlie Samuelson,,,3.0
player_jessica_shepard,Jessica Shepard,,,16.0
player_alanna_smith,Alanna Smith,,1114.0,12.0
player_camryn_taylor,Camryn Taylor,,6.0,1.0
player_maria_kliundikova,Maria Kliundikova,,,24.0
player_courtney_williams,Courtney Williams,,1260.0,4.0
player_kennedy_burke,Kennedy Burke,,779.0,2.0
player_natasha_cloud,Natasha Cloud,,1191.0,5.0
player_leonie_fiebich,Leonie Fiebich,,1041.0,6.0
player_rebekah_gardner,Rebekah Gardner,,,34.0
player_isabelle_harrison,Isabelle Harrison,,,23.0
player_sabrina_ionescu,Sabrina Ionescu,,1194.0,4.0
player_marine_johannes,Marine Johannes,,,20.0
player_jonquel_jones,Jonquel Jones,,,32.0
player_emma_meesseman,Emma Meesseman,,,15.0
player_nyara_sabally,Nyara Sabally,,,19.0
player_breanna_stewart,Breanna Stewart,,,33.0
player_monique_akoa_makani,Monique Akoa Makani,,,37.0
player_kalani_brown,Kalani Brown,,,27.0
player_kahleah_copper,Kahleah Copper,,752.0,7.0
player_lexi_held,Lexi Held,,,18.0
player_kitija_laksa,Kitija Laksa,,,22.0
player_natasha_mack,Natasha Mack,,623.0,2.0
player_megan_mcconnell,Megan McConnell,,1.0,0.0
player_murjanatu_musa,Murjanatu Musa,,,6.0
player_alexis_prince,Alexis Prince,,1.0,2.0
player_satou_sabally,Satou Sabally,,1039.0,13.0
player_alyssa_thomas,Alyssa Thomas,,1221.0,22.0
player_kathryn_westbeld,Kathryn Westbeld,,,38.0
player_sami_whitcomb,Sami Whitcomb,,1027.0,4.0
player_kiana_williams,Kiana Williams,,,4.0
player_lexie_brown,Lexie Brown,,,7.0
player_zia_cooke,Zia Cooke,,,12.0
