playerId,playerName,seasonKey
player_diamond_miller,Diamond Miller,diamond_miller|
player_tiffany_mitchell,Tiffany Mitchell,tiffany_mitchell|
player_shey_peddy,Shey Peddy,shey_peddy|
player_alissa_pili,Alissa Pili,alissa_pili|
player_aerial_powers,Aerial Powers,aerial_powers|
player_jacy_sheldon,Jacy Sheldon,jacy_sheldon|
player_jaylyn_sherrod,Jaylyn Sherrod,jaylyn_sherrod|
player_odyssey_sims,Odyssey Sims,odyssey_sims|
player_nalyssa_smith,NaLyssa Smith,nalyssa_smith|
player_brittney_sykes,Brittney Sykes,brittney_sykes|
player_stephanie_talbot,Stephanie Talbot,stephanie_talbot|
player_sevgi_uzun,Sevgi Uzun,sevgi_uzun|
player_julie_vanloo,Julie Vanloo,julie_vanloo|
player_li_yueru,Li Yueru,li_yueru|
