sr_player_uuid,sr_player_name,name_norm,teamId,sr_team_uuid,canonical_playerId,phase0_teamId,phase0_playerName,team_match,has_playerId
3f194c01-8933-4160-928b-93c416002d6f,Jade Melbourne,jade melbourne,WAS,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,player_jade_melbourne,WAS,Jade Melbourne,1,1
4009ca08-3b81-4190-9b13-c08ddb8090a5,Veronica Burton,veronica burton,GSV,4f57ec40-0d35-4b59-bea0-9d040f0d2292,player_veronica_burton,GSV,Veronica Burton,1,1
426e2359-cd19-458b-8591-874c47a7f6ec,Hailey Van Lith,hailey van lith,CHI,3c409388-ab73-4c7f-953d-3a71062240f6,player_hailey_van_lith,CHI,Hailey Van Lith,1,1
43135c04-f4c8-490d-ad59-0eb2e9f2f6cf,Natisha Hiedeman,natisha hiedeman,MIN,6f017f37-be96-4bdc-b6d3-0a0429c72e89,player_natisha_hiedeman,MIN,Natisha Hiedeman,1,1
433a5b0e-6b9c-448c-a8f7-33c5849bb6f1,Brianna Turner,brianna turner,IND,f073a15f-0486-4179-b0a3-dfd0294eb595,player_brianna_turner,IND,Brianna Turner,1,1
43e2f045-e419-4b6e-bf2c-45e45f4720cc,Jordin Canada,jordin canada,ATL,5d70a9af-8c2b-4aec-9e68-9acc6ddb93e4,player_jordin_canada,ATL,Jordin Canada,1,1
444bce18-54b4-4e5b-80f1-96f7ba6fe296,Jessica Shepard,jessica shepard,MIN,6f017f37-be96-4bdc-b6d3-0a0429c72e89,player_jessica_shepard,MIN,Jessica Shepard,1,1
45e35318-295a-4e1c-bfc6-c7b295ed5066,Courtney Williams,courtney williams,MIN,6f017f37-be96-4bdc-b6d3-0a0429c72e89,player_courtney_williams,MIN,Courtney Williams,1,1
46479ac7-5745-40d2-abc8-7c660ea759e4,Natasha Howard,natasha howard,IND,f073a15f-0486-4179-b0a3-dfd0294eb595,player_natasha_howard,IND,Natasha Howard,1,1
4945c3b5-f536-470c-8f2b-76568b59fe52,Kiki Iriafen,kiki iriafen,WAS,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,player_kiki_iriafen,WAS,Kiki Iriafen,1,1
4a97e708-71e5-4d58-b1e8-883adf027925,Cheyenne Parker-Tyus,cheyenne parker tyus,LVA,171b097d-01db-4ae8-9d56-035689402ec6,player_cheyenne_parker_tyus,LVA,Cheyenne Parker-Tyus,1,1
4d3205f8-4ffe-46d8-87f4-6c01bf670bca,Kaitlyn Chen,kaitlyn chen,GSV,4f57ec40-0d35-4b59-bea0-9d040f0d2292,player_kaitlyn_chen,GSV,Kaitlyn Chen,1,1
4d70f9da-972d-4903-b9e5-d4d4aaa0a91d,Michaela Onyenwere,michaela onyenwere,CHI,3c409388-ab73-4c7f-953d-3a71062240f6,player_michaela_onyenwere,CHI,Michaela Onyenwere,1,1
4daa0bba-2317-4504-a94c-969ccdf7d5d6,Kelsey Plum,kelsey plum,LAS,0a5ad38d-2fe3-43ba-894b-1ba3d5042ea9,player_kelsey_plum,LAS,Kelsey Plum,1,1
4e06c8c0-311c-4c8f-a6ef-3ef78200c823,Aneesah Morrow,aneesah morrow,CON,a015b02d-845c-40c1-8ef4-844984f47e4d,player_aneesah_morrow,CON,Aneesah Morrow,1,1
4e1ddd46-60f7-4307-a548-508c1ed6c136,Natasha Mack,natasha mack,PHX,0699edf3-5993-4182-b9b4-ec935cbd4fcc,player_natasha_mack,PHO,Natasha Mack,0,1
4e5370b1-4813-4e01-914e-e7f4a00ba565,Sonia Citron,sonia citron,WAS,5c0d47fe-8539-47b0-9f36-d0b3609ca89b,player_sonia_citron,WAS,Sonia Citron,1,1
4fa92d21-9f96-4bab-a9f8-f530a69287ee,Jackie Young,jackie young,LVA,171b097d-01db-4ae8-9d56-035689402ec6,player_jackie_young,LVA,Jackie Young,1,1
4fcc19db-1149-4081-9313-e3c2b24ae170,Angel Reese,angel reese,CHI,3c409388-ab73-4c7f-953d-3a71062240f6,player_angel_reese,CHI,Angel Reese,1,1
50eab91c-a616-4b89-832e-e17ac12708a8,Odyssey Sims,odyssey sims,IND,f073a15f-0486-4179-b0a3-dfd0294eb595,player_odyssey_sims,LAS,Odyssey Sims,0,1
51691b01-7acc-4673-ad60-64e8726a1b38,Carla Leite,carla leite,GSV,4f57ec40-0d35-4b59-bea0-9d040f0d2292,player_carla_leite,GSV,Carla Leite,1,1
5219e39b-9341-4dfb-a43c-793723729162,Kelsey Mitchell,kelsey mitchell,IND,f073a15f-0486-4179-b0a3-dfd0294eb595,player_kelsey_mitchell,IND,Kelsey Mitchell,1,1
5370ad82-3e6c-41f8-8d43-e6a41e317b91,Maddy Westbeld,maddy westbeld,CHI,3c409388-ab73-4c7f-953d-3a71062240f6,player_maddy_westbeld,CHI,Maddy Westbeld,1,1
